City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
369,Kaka,TM,80.17,37.3482,59.6143,
370,Cam Ranh,VN,87.76,11.9214,109.1591,
371,Marawi,PH,81.64,7.9986,124.2928,
372,Vostok,RU,77.81,46.4856,135.8833,
374,Marsa Matruh,EG,71.8,31.3525,27.2453,
375,Kyabe,TD,78.42,9.4515,18.9449,
376,Harper,LR,77.25,4.375,-7.7169,
378,Port Blair,IN,83.5,11.6667,92.75,
381,Messina,IT,68.2,38.1933,15.5497,
383,Albert Lea,US,76.91,43.648,-93.3683,
384,Hamilton,US,72.37,39.1834,-84.5333,
387,Nanakuli,US,83.98,21.3906,-158.1547,
388,Astoria,US,65.01,46.1879,-123.8313,
390,Vila Velha,BR,64.35,-20.3297,-40.2925,
391,Iskitim,RU,71.42,54.6366,83.3045,
392,Lorengau,PG,83.77,-2.0226,147.2712,
393,Mackay,AU,77.68,-21.15,149.2,
394,Valdepenas,ES,73.85,38.7621,-3.3848,
396,Ladario,BR,69.28,-19.0047,-57.6017,
397,Gizo,SB,84.18,-8.103,156.8419,
398,Marin,US,86.76,38.0666,-122.7344,
399,Strezhevoy,RU,64.38,60.7333,77.5889,
400,Suntar,RU,67.59,62.1444,117.6319,
402,Champerico,GT,82.35,14.3,-91.9167,
403,Kamyshevatskaya,RU,67.19,46.4132,37.9563,
404,Hasaki,JP,80.89,35.7333,140.8333,
406,Kattivakkam,IN,86.09,13.2167,80.3167,
407,North Bend,US,67.24,43.4065,-124.2243,
408,Faanui,PF,79.81,-16.4833,-151.75,
409,Innisfail,AU,89.87,-17.5333,146.0333,
410,Jalu,LY,73.62,29.0331,21.5482,
411,Emerald,AU,74.34,-23.5333,148.1667,
413,Banda Aceh,ID,83.84,5.5577,95.3222,
414,Nantucket,US,66.99,41.2835,-70.0995,
415,Pacific Grove,US,86.14,36.6177,-121.9166,
416,Manggar,ID,85.12,-2.8833,108.2667,
417,Tevaitoa,PF,79.93,-16.7833,-151.5,
419,Komsomolskiy,UZ,72.82,40.4272,71.7189,
420,Sidi Ali,DZ,68.27,36.0998,0.4206,
421,Pierre,US,82.06,44.3683,-100.351,
422,Yurga,RU,67.14,55.7231,84.8861,
423,Minot,US,88.79,48.2325,-101.2963,
425,Lengshuijiang,CN,88.81,27.6881,111.4294,
426,Puri,IN,83.37,19.8,85.85,
427,Hurbanovo,SK,61.14,47.8698,18.1923,
428,Tazmalt,DZ,79.7,36.3868,4.3989,
429,Santarem,BR,75.33,-2.4431,-54.7083,
430,Teya,RU,63.79,60.3778,92.6267,
431,Guararapes,BR,64.38,-21.2608,-50.6428,
433,Sinnamary,GF,78.13,5.3833,-52.95,
